,title,subtitle,link
0,MOVING RON,Ronaldo's ex-girlfriend and mum of his child has surgery to restore virginity,https://www.thesun.co.uk/sport/19957286/ronaldo-bodybuilder-girlfriend-child-surgery-virginity-married/
1,BUM DEAL,Newcastle forking out over £100k-a-week for five outcasts no longer at club,https://www.thesun.co.uk/sport/19953996/newcastle-100k-wages-five-outcasts-gayle-hendrick/
2,ALL GUNNERS BLAZING,How Arsenal could line up against Tottenham with FOUR players returning,https://www.thesun.co.uk/sport/19953547/arsenal-line-up-tottenham-team-news/
3,GUN DOWN,Arsenal star Smith Rowe faces three months out after undergoing groin surgery,https://www.thesun.co.uk/sport/19956868/arsenal-smith-rowe-groin-surgery-injury-blow/
4,HIT THE NET,Arsenal vs Spurs boost: Get EVENS for at least one goal scored in NLD,https://www.thesun.co.uk/sport/betting-tips/19953744/arsenal-spurs-odds-boost-evens-north-london-derby/
5,UNITED FRONT,Shearer's daughter Chloe celebrates turning 30 with cheeky twerk in bikini,https://www.thesun.co.uk/sport/19956453/alan-shearer-chloe-hollie-birthday/
6,STUNNER,Win incredible Ferrari 488 GTB + £5k cash or £130k alternative from just 89p,https://www.thesun.co.uk/sport/betting-tips/18918779/win-ferrari-7-days/
7,WE WANT BLUE,"Chelsea set for transfer overhaul with Bellingham, Rice and Nkunku targeted",https://www.thesun.co.uk/sport/19953188/chelsea-transfer-bellingham-rice-nkunku/
8,GOT THE BLUES?,Prem most injury hit league with one club 'losing' £30m due to crocked stars,https://www.thesun.co.uk/sport/19951917/chelsea-lost-30million-wages-injured-players-prem/
9,'MY DREAM',"Ronaldo could make emotional Sporting return and play with son, says star's mum",https://www.thesun.co.uk/sport/19952839/cristiano-ronaldo-sporting-lisbon-transfer/
10,ED IN THE CLOUDS,Hazard dances with group of women at nightclub while away with Belgium,https://www.thesun.co.uk/sport/19955928/nightclub-eden-hazard-belgium/
11,VIRG OF GREATNESS,Maguire's stats are shockingly close to Van Dijk's despite his struggles,https://www.thesun.co.uk/sport/19954390/harry-maguire-virgil-van-dijk-stats-man-utd-liverpool/
